1.143	156	183	55	457	570	261	237	97	254	90	791	270	270	16	90	41	316	136	193	132	69	1.167	121	642	0	0	0	449	55	675	201	0	28	9	0	91	0	58	8	0	95	0	110	0	0	0	0	13	0	0	0	0	0	0
3.919	1.305	622	246	636	1.107	2.539	854	680	310	789	268	5.164	1.577	10	672	81	698	520	666	113	1.047	635	1.493	7.975	1.328	963	3.863	1.007	3.923	3.335	1.634	304	483	19	0	21	135	39	31	0	627	271	1.319	24	0	788	0	240	0	124	0	15	19	0
2.679	894	291	137	516	2.679	4.480	526	1.178	272	767	294	1.391	5.423	382	314	122	348	65	387	44	1.392	775	100	1.501	569	275	1.045	1.159	822	1.652	2.020	47	2.064	28	0	105	45	77	194	0	405	271	660	24	0	200	45	22	0	0	0	3	19	0
248	26	3	27	119	221	790	3	3	10	50	10	13	653	0	0	0	0	13	0	0	29	0	0	138	59	37	0	0	0	10	96	0	312	0	0	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	3	0	0
2.411	90	269	0	45	427	448	1.517	493	0	179	179	538	358	0	2.531	830	134	45	0	176	179	90	0	224	0	45	228	0	226	224	239	0	403	0	23	372	270	205	0	0	269	0	0	0	0	0	0	90	0	15	0	441	82	0
698	339	226	0	20	333	81	733	158	116	0	0	162	122	0	785	495	20	20	48	0	81	91	33	152	59	0	0	19	61	0	252	20	41	131	41	400	349	408	16	0	142	0	0	0	0	60	0	0	0	0	0	66	207	0
1.586	521	525	55	350	271	301	438	2.995	78	0	316	567	413	0	179	20	1.825	293	339	0	230	136	133	494	0	37	318	105	340	229	517	79	183	19	0	21	68	19	93	0	958	338	615	119	0	120	0	361	0	29	0	65	0	0
1.362	117	195	27	229	264	321	191	636	78	76	65	468	114	13	45	20	195	2.087	1.373	638	234	71	100	0	0	74	0	105	92	293	160	7	198	9	0	42	23	19	54	0	708	1.442	1.223	190	0	0	0	239	0	0	0	0	0	0
2.451	100	290	48	145	193	193	97	1.009	0	48	193	860	339	0	0	40	290	1.228	3.851	137	422	0	33	0	0	0	285	0	92	98	484	0	290	0	0	0	0	0	0	0	145	1.299	960	333	0	0	0	343	0	73	0	0	0	0
1.468	58	252	27	69	176	244	0	613	0	132	132	88	220	0	0	0	0	517	195	1.411	167	88	44	0	0	0	0	44	44	44	242	0	88	0	0	0	0	0	0	0	132	165	264	0	44	0	0	220	0	919	0	0	44	0
1.693	330	732	343	439	994	930	221	789	1.715	421	133	1.013	1.357	99	134	81	200	200	373	167	2.172	773	133	631	94	0	129	211	357	631	580	41	514	28	0	105	90	19	54	0	645	135	110	0	0	120	35	39	0	15	0	0	0	0
3.030	193	173	0	659	564	317	141	560	39	363	1.011	635	704	0	45	91	136	71	0	88	808	2.609	100	334	0	37	188	105	141	141	71	71	264	0	0	0	0	45	0	0	212	0	0	0	141	40	0	71	0	44	0	141	0	0
663	100	0	33	66	133	100	33	133	33	33	88	1.493	66	0	0	33	133	100	33	44	133	100	1.128	796	304	0	127	100	232	362	332	33	66	0	0	21	0	0	0	0	166	0	0	0	0	40	0	0	0	0	0	0	0	0
4.289	711	319	137	234	1.411	1.397	61	1.164	233	0	609	7.574	1.765	270	90	152	459	0	88	44	1.026	379	829	15.804	594	617	2.275	1.607	1.919	1.186	1.381	0	922	0	0	21	68	283	16	0	266	135	242	0	0	678	0	0	0	0	0	0	0	0
793	178	0	0	144	425	238	357	99	119	0	0	1.526	569	59	0	59	0	0	0	0	59	0	304	535	654	898	213	238	691	336	238	59	59	59	0	0	0	0	0	0	59	0	0	0	0	598	0	119	0	0	0	0	0	0
481	164	37	0	25	185	74	0	111	0	74	0	963	222	37	45	0	37	74	0	0	0	37	0	1.181	983	825	524	74	259	222	148	14	0	0	0	0	0	0	8	0	111	37	147	0	0	0	0	74	0	15	0	0	0	0
1.799	45	284	27	49	376	940	282	395	0	0	0	3.640	1.045	0	184	0	367	0	236	0	129	188	33	2.447	178	427	2.321	515	1.121	1.334	631	94	0	0	0	0	0	0	0	0	188	68	0	24	0	479	45	4	0	29	0	0	19	0
2.170	948	211	0	105	700	474	0	421	0	105	449	1.044	1.121	0	0	0	105	215	0	44	211	105	100	1.712	357	74	703	1.896	1.287	1.230	507	105	105	19	0	0	0	0	0	0	488	0	0	0	0	80	0	316	0	0	0	0	0	0
2.689	389	267	137	532	1.374	1.008	678	623	116	0	190	3.223	610	3	316	81	340	98	140	88	287	141	232	2.326	614	393	935	1.383	6.761	2.362	995	7	678	28	0	113	45	116	23	0	317	92	550	0	92	399	0	196	0	0	0	0	56	0
2.703	212	131	55	306	698	859	836	733	78	197	494	3.254	1.652	10	224	0	229	261	98	0	730	141	362	1.152	336	222	1.428	1.335	1.861	4.234	1.825	313	197	19	0	0	0	170	8	0	295	0	98	24	111	239	0	112	0	0	0	0	0	0
1.622	781	319	27	314	583	1.145	113	547	219	265	204	1.107	1.983	89	179	252	712	160	580	176	642	141	265	1.513	119	185	631	507	908	1.825	5.765	390	852	9	64	63	90	58	301	0	265	313	394	48	0	120	0	72	0	0	0	0	19	0
