4633	6325	5724	5413	4154	3990	5455	7969	7654	3316	0	7076	5871	6643	7329	9759	9504	10349	16485	16849	11549	4635	6824	11757	8994	11766	12855	11545	10469	7808	10831	10203	16308	11390	7783	16585	10703	11885	18496	10273	18931	16437	16310	13650	21767	16306	13129	30218	-1	10725	10228	10144	14238	15645	21813
6180	7872	7269	7349	5701	4895	5629	9516	9045	8425	7076	0	5427	5822	6781	11306	11051	11740	17876	21180	17415	12781	14112	11887	8550	11322	12411	11101	10025	7364	10387	9382	15487	10842	7710	18132	12250	13432	20043	11664	20322	17828	17701	19516	23158	11048	12685	31765	-1	18477	17980	9596	15785	17192	23360
5042	6734	6132	6212	4563	3797	5173	8378	7908	7288	5871	5427	0	5558	6326	10168	9913	10603	16739	20043	14887	11067	9698	8102	3359	6040	7139	5896	4820	2159	5691	5880	12379	10387	7255	16994	11112	12294	18905	10527	19185	16691	16564	16988	22021	16260	7413	30627	-1	14063	13566	9141	14647	16054	22222
3853	5488	6042	6594	4615	2856	2112	6923	8026	7670	6644	5822	5367	0	3121	8713	8458	10721	16857	20161	18042	12026	12853	11287	7686	9799	9776	8420	7057	5020	5574	4205	10304	7181	4152	15539	9657	10838	17450	10645	19303	16809	16682	20143	22139	16870	9866	29172	-1	17218	16721	5935	13191	14599	20767
4059	5695	6248	6540	5020	3541	2360	7130	8232	8355	7329	6781	6326	3121	0	8920	8665	10927	17063	20367	19555	12711	14366	12786	9199	11700	11677	10321	8958	6533	7475	5591	11425	4060	3257	9561	9864	11045	17657	10851	19509	17015	16888	21531	22345	17829	11767	29379	-1	18731	18234	2814	13398	14806	20974
5241	4531	5823	6825	6420	6911	6883	1792	7098	8759	9762	11309	10171	8715	8921	0	2049	9697	15929	19233	20598	13115	15873	16056	13294	16066	17279	15138	13942	11061	13626	12257	18297	12982	8974	7404	2003	3610	10996	9621	18375	15881	15754	20397	21211	22357	17369	22718	-1	19774	19277	11736	5593	8372	14540
4983	4273	5565	6567	6163	6653	6625	2131	6840	8502	9505	11052	9914	8457	8663	2048	0	9439	15671	18975	20341	12858	15616	15799	13037	15809	17022	14881	13685	10804	13368	11999	18039	12724	8716	8594	1940	2839	9176	9363	18117	15623	15496	20139	20953	22100	17112	20898	-1	19517	19020	11478	4999	6577	12745
6974	5588	4847	5316	6463	8183	8889	7906	3382	7736	10349	11741	10604	10722	10927	9696	9441	0	6941	10245	13181	12092	14850	16489	13727	16499	17588	15779	14583	11702	14847	14263	20303	14988	10980	16522	10640	11821	18433	6208	9387	6893	6766	11409	12223	18325	17862	30155	-1	12790	14734	13742	14174	15582	21750
13106	11818	10979	11449	12595	14315	15021	14136	9018	13869	16481	17873	16736	16854	17059	15926	15671	6940	0	4846	7782	15815	11056	22621	19859	22631	23720	21911	20715	17834	20979	20395	26435	21120	17112	22752	16870	18051	24663	12497	7658	5165	3789	6016	9246	12926	23994	36385	-1	7391	9335	19874	20404	21812	27980
16430	15142	14303	14773	15919	17639	18345	17460	12342	17193	16844	21197	20060	20178	20383	19250	18995	10264	4845	0	7327	15360	10601	25945	20666	23438	24527	23545	24039	21158	24303	23719	29759	24444	20436	26076	20194	21375	27987	15821	10982	8489	6604	6460	10212	12471	24801	39709	-1	6936	8880	23198	23728	25136	31304
16289	16592	15263	14684	15314	16850	17997	18801	15278	12519	11544	17415	14883	18036	19550	20591	20336	13200	7781	7328	0	10060	5301	20986	15366	18138	19227	18245	17902	15720	18964	19575	26074	23610	20295	27417	21535	22717	29328	18757	13918	11425	6520	2376	9191	6357	19501	41050	-1	3185	3091	22364	25070	26477	32645
8811	9114	7785	7206	7836	9372	10519	11323	9398	5041	4635	12781	11068	12025	12711	13113	12858	12092	15818	15365	10065	0	5340	17529	11551	14323	15412	14430	14087	11905	15149	15585	21690	16772	12817	19939	14057	15239	21850	12016	20675	18181	16310	12166	18981	14822	15686	33572	-1	9241	8744	15526	17592	18999	25167
11569	11872	10543	9964	10594	12130	13277	14081	12156	7799	6824	14110	9697	12850	14364	15871	15616	14850	11055	10602	5302	5340	0	15800	10180	12952	14041	13059	12716	10534	13778	14389	20888	18424	15575	22697	16815	17997	24608	14774	17192	14699	11547	7403	14218	10059	14315	36330	-1	4478	3981	17178	20350	21757	27925
10929	12621	12019	12099	10450	9684	11149	14265	13795	13175	11758	11887	8102	11286	12786	16055	15800	16490	22626	25930	20991	17531	15802	0	6021	3816	4940	5276	6421	8814	8396	10708	17207	16847	13477	22881	16999	18181	24792	16414	25072	22578	22451	23092	27908	22364	5208	36514	-1	20167	19670	15601	20534	21941	28109
8164	9856	9254	9334	7685	6919	8148	11500	11030	10410	8993	8549	3359	7685	9199	13290	13035	13725	19861	20671	15371	11551	10182	6021	0	3173	4262	3281	3253	3712	5118	6543	13042	13259	10230	20116	14234	15416	22027	13649	22307	19813	19686	17472	25143	16744	4536	33749	-1	14547	14050	12013	17769	19176	25344
10937	12629	12027	12107	10458	9692	10920	14273	13803	13183	11766	11322	6039	9798	11699	16063	15808	16498	22634	23443	18143	14323	12954	3816	3173	0	1244	1969	3114	5507	5089	7401	13900	15759	13002	22889	17007	18189	24800	16422	25080	22586	22459	20244	27916	19516	1434	36522	-1	17319	16822	14513	20542	21949	28117
12066	13792	13249	13236	11609	10821	11232	15402	14932	14312	12895	12451	7178	9783	11684	17192	16937	17627	23763	24572	19272	15452	14083	4939	4302	1244	0	2709	3764	6184	4486	7382	13881	15744	12982	24018	18136	19318	25929	17551	26209	23715	23588	21373	29045	20645	354	37651	-1	18448	17951	14498	21671	23078	29246
10008	11643	11100	11392	9460	9469	9559	13345	13084	12952	11543	11099	5894	8420	10321	15135	14880	15779	21915	23550	18250	14430	13061	5276	3281	1969	2668	0	1714	4124	3709	6023	12522	14381	11619	21961	16079	17261	23872	15703	24361	21867	21740	20351	27197	19623	2930	35594	-1	17426	16929	13135	19614	21021	27189
8812	10447	9904	10196	8264	8395	8363	12149	11888	11756	10469	10025	4820	7058	8959	13939	13684	14583	20719	24023	17906	14086	12717	6422	3253	3115	3764	1736	0	2928	2561	4687	11186	13019	10257	20765	14883	16065	22676	14507	23165	20671	20544	20007	26001	19279	3848	34398	-1	17082	16585	11773	18418	19825	25993
